BL,LWL,HWL
0.018353262,0.196019054,1.434611125
0.087829086,0.196893674,0.229984766
0.084700198,0.170598816,0.348388719
0.100292112,0.261322647,0.495924359
0.084765719,0.120890432,0.217333602
0.036611831,0.192759864,0.489536257
0.014694157,0.061642905,0.156568695
0.14354539,0.209312238,0.464957508
0.041979634,0.119165183,0.300923508
0.039106902,0.148042826,0.327906375
1.171075166,0.120050423,0.390757348
0.178309636,0.224335986,0.471541294
0.063080043,0.127448482,0.208620167
0.216898175,0.354078031,0.845041289
2.101824397,2.492121849,2.320383176
1.286945175,1.428138623,1.667495403
0.314582629,0.28312142,0.190789501
0.283537938,0.404618487,0.677518506
0.033131949,0.040341892,0.050796053
0.049347115,0.085148415,0.097092195
0.132757414,0.124020294,0.146985552
0.231474426,0.165610538,0.186444335
0.144364477,0.1408653,0.152106094
0.177726087,0.285257026,0.273833408
0.117047811,0.39247892,0.353283094
0.171797178,0.242625937,0.162541469
0.678093042,1.528829059,1.273925564
2.052599456,2.429820807,2.19582961
0.863175121,2.2404204,2.221263744
0.508413776,0.995306401,0.71612577
1.187229138,0.701935816,0.609937061
0.262248353,0.160598365,0.089349266
0.122099383,0.145001334,0.070813263
0.300846206,0.157135258,0.092301414
1.950480568,0.993837681,1.040769508
3.355929736,4.222064526,3.404406125
3.835335185,4.214216306,3.468372554
1.104935724,1.360419905,1.257345755
0.987065045,1.838103994,1.76833059
0.79302995,0.442877559,0.489712278
0.31035801,0.318424037,0.614772019
1.097658431,2.106137731,2.203632324
0.178123623,0.533325564,0.246163661
0.113402909,0.081461677,0.035680031
0.817911141,0.202772633,0.114757153
0.182485608,0.06928145,0.070622129
0.355690325,0.110784392,1.55E-04
0.147322783,0.152520714,0.015835995
0.479389355,0.13882152,0.099736066
1.422304454,0.350445326,0.243252451
0.196967835,0.022466414,0.010882249
0.530469966,0.236668112,0.025635369
0.219474282,0.240134943,0.048529341
0.49400453,0.202995949,0.041696102
0.13885025,0.173944006,0.062016521
0.957309237,0.4561296,0.251722033
0.539668627,0.433740739,0.272291007
0.2952751,0.208010018,0.154017492
0.219230779,0.324175167,0.206501811
0.663652005,0.216700889,0.10895241
0.326256804,0.077131586,0.136983499
0.132395604,0.13542944,0.069190307
0.164566186,0.107881711,0.059268248
1.031552937,0.972311807,0.761222697
0.46332942,0.737999291,0.390935963
0.246010167,0.172293442,0.093195575
0.439155606,0.247259525,0.293039217
0.3640323,0.444027983,0.293992445
0.353527446,0.250627132,0.188566942
0.280830495,0.450423131,0.286873413
0.327587502,0.269984542,0.471887481
0.027371838,0.101435623,0.082303963
0.268226657,0.008316425,0.200577148
0.431853223,0.125050765,0.116946253
0.073042233,1.02227601,0.163860144
0.016253774,0.025752282,0.107760406
0.035260302,0.122778768,0.436149601
0.053106335,0.179584112,0.251166067
0.068695622,0.26683241,0.175442107
0.052829285,0.118797269,0.031145296
0.215041903,0.307878084,0.086000105
0.05260559,0.557915483,0.430251564
0.079412422,0.192076084,0.113966144
0.03658176,0.609508839,0.294325482
1.14737486,1.162222406,0.925098591
0.405306027,0.376274782,0.266182193
0.801610735,0.171605349,0.21028485
0.094063506,0.237532235,0.113892899
0.015852522,0.195396013,0.380451219
0.071836002,0.0999975,0.128853011
0.547050171,0.419426593,0.409549156
2.185423998,0.577233693,0.386271055
1.14441152,0.27813592,0.258726225
0.590707732,0.63184918,0.26633418
0.388930284,0.273085994,0.21741157
0.780138401,0.203033634,0.172164552
0.47673546,0.549552557,0.16384934
0.695086802,0.531078703,0.527261519
0.856014538,0.294292655,0.182284588
0.344964155,0.126010662,0.058675725
0.657986667,0.141154695,0.125914577
0.33422111,0.027746629,0.023355205
0.236062773,0.004198692,0.026617655
0.081488511,0.015498526,0.012624767
0.263305366,0.037151293,0.039552311
0.986888708,0.147375085,0.135561923
0.766927423,0.089582364,0.086120354
0.450185769,0.086707536,0.101413936
0.578104551,0.099207943,0.101693892
0.713965607,0.139561679,0.118142192
0.520873621,0.141127951,0.133767481
0.610052596,0.377487628,0.253294416
0.449828474,0.971840671,0.662432963
0.032646685,0.331246915,0.052206081
0.46018754,0.424681798,0.327755575
0.560958927,0.537908625,0.404632391
0.309448081,0.156822794,0.204620565
0.201395563,0.048395407,0.03469995
0.603194756,0.645736753,0.701809072
1.510951637,0.655695183,0.940295652
0.914429269,0.600611505,0.734111809
0.464960379,0.418423167,0.462394317
0.337963209,0.64296819,0.525052675
1.329816689,1.204752532,1.05778296
0.019266018,0.331673866,0.104093027
0.213536857,1.022601044,0.562667211
0.060139659,0.219226808,0.471446624
0.243649863,0.201201541,0.319806134
0.282779726,0.159900873,0.28719361
0.131557596,0.165242415,0.238995957
0.200672462,0.01059731,0.026518149
0.204967273,0.061669588,0.088237242
1.525884833,0.521862125,0.506243715
0.865354948,0.379416659,0.724857571
0.154179174,0.162891866,0.219793002
0.152098152,0.125621151,0.141361619
0.332271959,0.315555912,0.677737862
0.527999305,0.516052606,0.78623252
0.221091801,0.43004302,0.733576708
0.192955841,0.412283326,0.731018277
