BL,LWL,HWL
0.003953776,0.093223859,0.063778056
0.034201309,0.056902146,0.041268959
0.041300999,0.046425452,0.034199951
0.044818089,0.069213913,0.1178221
0.199796178,0.039045009,0.04224627
0.017187762,0.060592083,0.054778242
0.863211726,0.020657545,0.020909005
0.069705205,0.076045541,0.057183717
0.02242587,0.034716863,0.031779493
0.039693167,0.039263929,0.038702643
0.257459532,0.036204502,0.099437066
0.098652927,0.070176011,0.051829538
0.018838725,0.032525298,0.017860468
0.035873093,0.0661411,0.068381781
0.198957469,0.291701512,0.263554406
0.126401831,0.161933169,0.190628712
0.067920583,0.125628661,0.039598012
0.034979856,0.061979984,0.102881226
0.081603051,0.035802103,0.057370667
0.021273198,0.025737663,0.020275496
0.029031304,0.037212226,0.032042492
0.0486792,0.047337644,0.045759651
0.027160921,0.031837091,0.032401898
0.035677722,0.055908035,0.054727573
0.020090922,0.063906242,0.051295966
0.041751439,0.039388,0.031131069
0.074250535,0.170259552,0.121214436
0.19404093,0.286776203,0.255888245
0.125690893,0.329266714,1.316991105
0.072441786,0.053682128,0.289021162
0.275505338,0.157723609,0.375780558
0.067584587,0.134218575,0.081807898
0.161994886,0.139144275,0.191934317
0.085843922,0.06313379,0.102378055
0.459350393,0.279450444,0.758799657
0.87126586,0.573514462,2.166696712
1.023621388,0.66935032,2.059798047
0.248047386,0.114279733,0.721517815
0.231651161,0.669637357,1.286526705
0.189276019,0.121041356,0.322819528
0.070757148,0.068129666,0.31213333
0.2144334,0.352361303,1.342687309
0.11265181,0.064547563,0.068571925
0.106378625,0.005427711,0.03239228
0.799148648,0.027573733,0.01196616
0.35647738,0.009251457,0.013880431
1.293432384,0.036667512,0.033943247
0.421042347,0.066353038,0.007168672
1.053309927,0.025355353,0.020819925
2.164629298,0.073133627,0.030965472
0.339314855,0.00257062,0.004387788
1.365548558,0.116289133,0.020063866
0.315013626,0.04756747,0.031484167
0.627589048,0.03655139,0.007542526
0.13185763,0.028736991,0.014863721
0.741258315,0.059009956,0.053244725
0.130524154,0.057028456,0.067586959
0.530240649,0.056143378,0.050245472
0.047143011,0.049547559,0.048688833
1.01710473,0.169705397,0.090236435
1.227118097,0.093785121,0.031054656
0.177903454,0.027707188,0.022464251
0.125327134,0.015263614,0.023773396
0.31463877,0.144865317,0.146193077
0.268080043,0.108080458,0.087869512
0.300518203,0.044781559,0.016928535
0.547968496,0.125547374,0.105016581
0.179869477,0.064402381,0.06638508
0.315769502,0.067255158,0.055143176
0.116391611,0.054455635,0.064210257
0.096604797,0.042613413,1.197933864
0.002625938,0.008288919,0.024488498
0.008316425,0.018827627,0.749846978
0.109802777,0.016236532,0.066833451
0.313206315,0.054097006,0.435493471
0.024177044,0.035118655,0.579185746
0.007413548,0.057302824,1.602867469
0.014156587,0.034640652,0.671212428
0.044664807,0.10140493,0.500081788
0.038993413,0.052191084,0.074082677
0.052741472,0.061789339,0.101961919
0.007418502,0.064989145,0.945638168
0.01990338,0.018419252,0.062258315
0.004808288,0.056724334,0.234870506
0.158963867,0.128250335,0.146595677
0.067191357,0.117917116,0.070112374
0.128632339,0.027205121,0.091133243
0.034980373,0.209158002,0.107106683
0.004697223,0.740343135,1.275639528
0.019529315,0.097909486,0.30301535
0.110958637,0.168051442,0.21679342
0.368447512,0.238486713,0.168052297
0.208385262,0.091025665,0.129290914
0.108404708,0.204292266,0.498961738
0.068760715,0.052156054,0.264955829
0.124309331,0.060688961,0.079997659
0.089932953,0.087864004,0.043440687
0.121534009,0.186047628,0.111008943
0.146739339,0.01904257,0.028400841
0.114547626,0.007438414,0.01795907
0.192233561,0.021180855,0.03405234
0.258953189,0.002282499,0.020043723
0.57754616,0.003217061,0.060710285
0.064921489,0.001937733,0.006145349
0.131981026,0.005307836,0.015134874
0.282857383,0.025082004,0.037852822
0.200028966,0.015776872,0.022998805
0.132786004,0.012960432,0.022884274
0.157915239,0.014718753,0.031195833
0.084619257,0.019173486,0.034034833
0.114919786,0.018816384,0.036432496
0.118018409,0.047434891,0.091215829
0.197048489,0.091510312,0.168193547
0.032034989,0.063637385,0.013865193
0.33681993,0.061298184,0.121618252
1.024722652,0.117767007,1.024722652
1.605241333,0.120084122,0.725577719
0.344186655,0.013123196,0.049235593
0.650379104,0.145004052,0.341851319
0.893052413,0.145345904,0.406257465
1.275302622,0.258568601,0.709766424
0.503219129,0.104395864,0.325612131
0.371307211,0.185808126,0.509633023
0.892537787,0.207004811,0.507405497
0.008565202,0.043017855,0.035837891
0.111934126,0.098473571,0.181441387
0.018398702,0.056380539,0.169939445
0.155702096,0.070611839,0.081242589
0.351150061,0.05635477,0.102107081
0.294807447,0.132930407,0.389874603
0.090805337,0.008371793,0.011813712
0.344196562,0.034368089,0.054065808
2.67366397,0.19646151,0.148948225
0.893716417,0.115194204,0.154663776
0.160016852,0.054173429,0.049092588
0.20990903,0.05089664,0.032631697
0.254867068,0.091787134,0.384214749
0.406680412,0.138523557,0.130526542
0.090429078,0.107632138,0.12265995
0.093715159,0.096010517,0.094792281
