BL,LWL,HWL
1.056946153,2.33924606,6.460665517
4.090806014,2.010669448,2.068164775
2.330782323,1.584509079,2.44747889
4.451838462,2.110915703,2.931993327
1.696748505,0.829326984,1.372161953
2.49733323,1.065202829,2.599515515
0.724383607,0.444368013,0.911781895
2.386678823,1.122994469,2.162039315
2.288248886,0.958397573,2.08613274
2.363195629,1.119272131,2.600932492
5.052471075,2.997777871,3.811550582
3.972702328,1.725784073,2.312578619
3.078015677,1.74214393,1.78820089
4.777647226,4.630882332,5.430176815
25.30252466,12.21408851,14.11165317
13.01124989,7.731969629,11.33317423
3.94790391,1.93857681,2.958472341
3.31398959,3.044870743,6.014328309
0.410909509,2.169112572,3.66360697
1.435272609,3.525003824,4.566573387
0.648160206,1.979915082,2.917066282
0.914380554,3.741325278,3.883333549
0.758886735,2.966189938,3.021671244
0.986548986,4.62800705,4.493482918
2.127551305,2.750753323,3.381671485
2.49792712,2.076947699,2.179360887
10.50268513,9.20049415,6.666529458
24.71249539,11.97313577,13.00442358
9.729917854,7.724237918,9.406177544
7.915738062,6.616895977,8.472813627
2.947741068,1.349511336,1.598758353
1.733318282,0.794642731,0.877814464
0.2550157,1.098603425,1.294195576
0.867267889,1.118892874,1.441455633
3.12528285,2.054839599,3.266796472
3.096991599,3.831109483,4.103347021
3.602395842,4.917801997,5.756709432
1.446079965,1.910583172,2.185505952
2.57935148,3.374832478,4.361541746
1.667701536,1.00821524,1.314979003
2.64130894,1.232167982,2.525030028
6.943254997,5.140394708,6.474534326
1.151968097,5.438829514,4.185586717
1.440110827,2.213886646,1.821883675
1.645007067,1.75921107,2.72535102
1.771476943,2.123161665,1.522432325
1.78331664,1.614365985,0.645501177
0.952784435,1.049899287,0.458789547
1.608879874,1.617893373,0.93185953
3.16830202,2.878287017,1.794113753
0.840206999,0.375830188,0.164830772
3.008816489,0.375830188,1.082691738
1.17620185,2.793226829,0.637666656
2.184643574,2.605975982,1.088141938
2.701204461,3.101608666,1.273068344
4.33420405,5.098714299,2.609884074
3.03225491,2.258934418,2.569135266
5.205893566,1.338817914,1.833530618
0.803234754,1.2115877,1.953567823
1.663365488,0.812407037,1.59928154
1.795646235,0.580124398,1.202884712
0.425020083,0.970559218,1.445724806
0.735287389,0.779745093,1.040743264
1.261366742,2.040360639,2.813920282
0.8975781,2.039361508,2.681138432
1.986110606,2.247519487,0.770640813
1.857966094,0.962464022,2.217390503
1.140771922,1.488871442,2.349135718
1.318529172,1.248489786,1.899975104
1.175284761,1.93227618,2.786543107
4.34514804,1.77155308,4.385841991
0.651148306,1.338183636,1.565351069
0.790536812,1.595545021,1.472770898
1.175429864,2.78233488,1.765146805
0.6145697,1.066882162,1.192151477
0.237064004,1.292174568,0.972585776
0.281077484,2.051252055,2.065569016
0.277739886,1.822692378,2.35032609
0.348422612,2.30234715,1.516589333
0.838510535,3.357688973,1.154938126
3.658139999,3.829782808,1.391129825
0.689415791,4.180815967,3.482550358
1.919119079,2.21397172,1.63129354
1.377044697,6.193469064,6.597477828
6.523793372,12.95428669,13.00846401
6.670209709,5.942397185,4.783332147
1.242327407,1.612300732,2.154296676
1.168834234,3.394345068,2.203554538
0.292081748,2.200828333,1.408857327
0.554197051,1.336396151,1.461886556
1.272843497,2.619036695,2.297905777
1.583257162,2.980605079,1.662468224
1.612154139,1.844883716,1.722469622
1.357323691,9.515718358,2.418847454
1.538180774,3.447582725,3.274516079
1.388843754,2.784415893,2.876086089
3.761481509,10.25162319,5.3997981
2.906526286,4.307374224,5.321202021
8.665147672,2.46080311,3.783557793
3.288868476,1.084393056,1.594674009
0.793575076,0.335941787,0.554029333
1.172760455,0.252459522,0.490502362
0.238729279,0.100044758,0.21310659
0.185534717,0.12493604,0.224413103
0.318400165,0.225381117,0.325606053
0.384489323,0.323334025,0.481492429
0.395526401,0.311514644,0.427025417
0.697611537,0.287279288,0.427721994
1.106952671,0.370110012,0.634548918
1.212011012,0.376557201,0.595556961
2.934365373,0.847268739,1.557377261
4.407674589,2.625793859,3.332029252
9.914394708,11.05208894,12.45174415
2.147459538,3.708994186,2.244165706
2.419352032,1.738875431,2.071077816
4.423341747,3.941691763,5.113187649
0.748930427,0.751639655,0.902731338
0.749061619,0.307906653,0.288731785
1.840848278,1.38874778,2.07692763
2.526950307,1.441832625,1.827935548
2.047798116,2.521653736,2.355298541
1.778275852,2.111705931,2.154696512
2.79532684,2.828847433,3.21984744
3.999023549,3.292830853,4.286792622
0.450749578,2.688480913,2.184567121
3.688180611,8.204231527,7.759962433
1.754822191,7.735921998,3.572369288
7.389982884,3.085950515,3.375969527
4.252430596,1.115800727,2.407661074
2.687806893,1.942541429,2.32674943
2.078338386,0.284837933,1.037304483
0.863283159,0.243758842,1.505923931
3.712016057,1.858887659,2.628339198
2.338826842,1.830622224,5.331273334
0.803397607,1.034334137,2.785428196
1.177681276,0.568823377,2.211361943
3.807523036,2.707738366,5.789286364
4.956598796,2.942682712,4.894443425
6.068647258,5.702401742,6.760020595
13.80819174,8.619271323,8.337777676
